,rate
5939,3.5
31566,3.9
27532,4.1
13254,4.1
11229,3.9
28517,4.2
13977,3.8
17461,3.3
6710,4.1
35384,3.9
22761,3.0
20191,2.8
5811,4.0
28362,3.0
17291,3.7
46156,3.0
38730,4.1
29371,4.1
45825,4.4
40552,3.2
10352,3.3
36857,3.8
17315,3.3
29823,3.5
35095,4.3
25996,3.8
50602,3.8
45021,3.4
20452,4.4
17919,4.0
36186,3.4
3207,3.3
17644,4.0
1487,2.6
26151,3.5
34025,3.8
39793,3.5
50968,3.6
32424,4.1
20944,4.1
45922,2.4
38179,3.4
28743,3.7
20868,4.3
6731,3.4
43733,4.1
39734,3.0
46465,3.1
26479,3.9
984,3.2
7435,3.3
43410,3.8
39217,3.9
4607,3.5
28186,4.0
8570,3.5
44175,2.9
19279,4.2
43014,3.1
385,3.3
20420,3.3
34042,4.1
44788,4.0
36458,3.8
32959,3.1
3734,4.3
34019,4.2
42685,3.8
48380,3.7
49591,3.9
31108,3.9
40410,3.3
1442,3.8
48432,4.4
45674,4.0
16219,3.9
3754,3.6
12357,3.0
15495,3.4
25269,3.7
6921,4.1
3089,3.4
51624,3.3
21081,4.6
13556,3.2
14409,3.5
7940,4.1
18714,3.8
40577,3.6
27859,3.5
14069,3.2
17144,4.3
37162,3.4
46504,3.2
43246,4.5
19604,4.1
18583,3.5
6976,3.4
27549,3.7
20633,3.4
19712,3.7
31390,3.6
24521,3.9
35128,3.6
34271,3.5
4632,3.7
19311,3.9
16825,4.0
22884,3.5
6553,4.5
36627,4.2
4957,4.2
8346,4.2
12970,3.3
14815,4.4
5025,4.2
34273,3.9
30057,4.2
48692,3.2
23522,4.0
37662,3.8
45885,3.9
39532,4.1
10609,3.1
12738,3.9
1465,2.7
6787,4.2
39400,3.7
7141,3.5
9347,3.5
3341,4.1
2750,3.2
23770,3.1
15117,3.6
14751,3.4
8792,4.0
42659,3.7
35943,3.7
33179,3.5
32587,3.7
13293,3.9
22515,4.2
38040,4.3
44815,2.8
20185,3.6
4015,3.6
33843,3.5
1353,3.8
36640,3.5
18618,3.9
30556,3.9
23913,4.4
24076,3.8
5930,4.7
44222,3.2
4513,3.8
10685,3.4
15799,3.7
51090,4.0
16774,4.2
29490,3.5
8284,4.1
26445,3.5
15573,3.8
25530,3.7
35113,4.0
16995,3.9
27140,3.9
22801,3.1
3185,4.0
24215,3.6
9755,3.6
51176,2.9
18453,3.6
30242,3.4
42203,3.5
4205,3.1
9170,3.1
25900,3.4
44729,4.0
7101,3.8
42502,3.9
18857,3.9
17118,3.1
42607,3.1
50156,3.2
48299,3.5
49766,2.9
9890,3.9
19971,3.3
26473,3.8
9204,3.5
30829,3.4
24727,4.1
29686,4.0
8604,3.9
17822,4.3
43880,3.6
6404,3.5
46701,3.8
975,2.7
10060,3.6
40057,4.2
34772,4.1
20620,3.5
25484,3.4
27281,3.3
55,3.9
26471,4.3
48781,4.5
19410,4.2
46300,3.8
10404,4.1
32481,3.9
101,3.7
36048,3.6
22450,3.8
49628,4.2
34267,3.9
4260,3.6
4971,4.1
30951,4.0
31234,4.6
14999,3.5
40485,4.8
35746,3.2
34787,4.4
21126,4.1
26806,3.8
13887,3.3
45076,3.8
49034,3.2
23752,3.1
43328,4.3
29142,3.2
29,3.8
33216,3.8
23740,3.6
12586,4.4
33177,3.4
4044,3.2
10410,3.9
37069,3.6
2667,4.2
36839,3.8
32857,3.4
20331,4.2
42792,3.8
7379,3.1
50288,4.0
29826,4.3
48582,4.1
26580,3.8
808,3.6
14933,3.5
8478,3.0
13525,3.8
21411,3.9
19334,4.2
44448,4.1
47114,3.5
27857,3.3
49006,3.2
26742,4.1
32958,3.9
7881,3.6
30526,4.1
4181,3.6
19724,3.8
2480,4.2
13550,4.0
40627,3.3
5706,3.3
17930,2.7
48083,3.4
16490,4.3
43189,4.3
891,3.9
43513,3.3
5442,3.7
8371,3.9
48917,3.8
13447,3.7
43194,4.1
49976,3.5
1029,3.6
34441,3.9
48983,4.0
33088,3.9
42132,2.9
4261,3.9
14374,3.4
9478,3.8
48594,3.4
35150,4.1
3956,3.9
13393,3.8
48219,4.2
6503,3.6
34036,4.4
995,4.0
26759,3.8
38800,4.0
38904,3.4
15543,3.5
41099,3.1
19878,3.7
35841,3.4
37652,3.8
43734,3.9
20242,2.9
38755,4.1
19585,2.7
8550,4.2
45797,4.7
1740,3.2
36196,3.6
44490,3.7
48362,2.7
23975,4.4
2349,3.7
26802,3.6
19548,4.1
28344,3.9
49140,3.2
44261,2.7
26882,3.9
14780,3.9
36913,3.4
51304,3.0
44258,3.2
39809,2.9
20297,3.5
23964,2.7
14936,3.2
40798,3.7
22200,3.6
4892,3.3
35279,2.6
2895,3.7
26360,3.3
2460,2.9
51242,2.8
476,4.1
49437,3.3
36843,4.0
11377,2.8
45179,3.4
31993,3.9
24997,3.7
23919,3.7
15000,3.4
47599,4.1
49691,3.1
50648,2.5
29286,4.4
7647,3.2
40369,3.7
37665,4.3
6089,3.9
29292,3.9
42284,4.0
49268,2.9
43266,4.2
12683,4.3
7709,4.0
12620,4.1
46211,3.8
25935,3.9
29606,3.9
39198,3.6
33930,4.4
19937,3.1
6139,4.0
14345,3.6
27819,3.4
11227,3.6
18066,4.0
34302,3.1
5356,3.1
13713,3.6
13270,3.5
13619,3.6
3040,3.1
1849,3.5
46344,3.7
47963,3.5
42722,3.6
39586,3.8
49748,3.8
12080,3.3
46886,3.6
35066,3.8
51477,3.3
16284,3.8
33508,3.6
31202,3.3
45234,3.6
12088,3.9
36504,3.4
34661,3.4
21347,3.9
39423,4.3
27041,3.4
13213,4.3
2520,3.8
24559,3.8
3026,4.1
37835,3.8
26910,3.4
46324,3.2
24911,4.0
26763,3.3
41226,3.5
18107,4.1
26267,4.1
46294,3.8
12931,3.7
586,3.8
39844,3.7
46672,4.1
50882,3.7
31382,3.7
20377,3.3
44510,3.3
1092,3.5
34983,2.9
37584,3.7
6549,3.6
40816,3.2
16500,3.6
37539,4.5
5201,4.3
732,3.1
47685,3.4
7975,3.9
33964,4.1
27127,3.1
26402,3.2
622,3.4
38080,3.2
36532,3.6
15070,3.6
9241,3.6
13118,3.2
42331,4.0
11813,3.9
37623,4.3
48574,4.3
35738,4.0
44380,4.1
35294,3.1
20992,3.7
25553,3.6
34623,3.6
50828,3.7
29716,3.5
1638,3.0
43347,4.1
35047,3.4
350,3.4
20822,3.7
7634,4.0
33228,3.3
36202,3.7
42101,3.6
37519,3.8
6144,4.3
8531,4.1
25657,3.4
35498,3.3
31529,3.7
21575,3.7
29948,3.5
24772,3.6
17462,3.0
8318,3.2
33317,3.1
2638,3.8
4608,3.9
45723,3.5
37062,2.9
37938,3.9
25981,3.8
24064,3.8
49666,3.4
13312,4.3
42642,4.2
38056,4.4
45153,3.9
32171,4.6
21553,2.7
5843,4.1
14264,3.8
17100,3.3
46678,3.9
49573,3.1
12706,3.6
44085,4.0
2759,2.7
39812,4.5
25983,3.8
48562,4.6
4120,4.1
24875,3.6
47488,3.9
879,3.0
9966,4.0
25645,4.1
19178,4.2
4083,4.4
18790,2.7
31112,4.0
33523,3.2
13473,3.8
49686,3.7
50268,3.6
22898,3.2
16534,4.0
9013,3.7
13731,3.7
34246,3.7
38832,3.4
1308,4.4
46088,4.0
3474,4.2
33806,4.3
15661,3.4
34103,3.9
50423,3.3
29641,3.7
6335,2.5
27446,2.6
207,4.1
1450,3.4
616,3.5
11647,3.9
1425,3.2
49590,3.9
10700,3.7
23543,3.2
36026,3.8
46601,2.6
41856,3.9
8468,4.0
10193,4.2
33453,3.4
50012,3.3
21372,3.7
34751,3.9
28297,3.2
1021,3.5
15253,3.6
13814,3.2
19007,3.9
48275,2.9
10290,3.9
42631,3.7
17764,3.8
51621,3.7
48521,3.5
35675,4.1
13416,3.0
13618,2.9
41235,3.4
36609,3.7
15446,3.7
42815,3.4
22728,3.6
41597,4.0
20899,4.1
9729,2.9
24993,3.8
10220,3.5
8373,3.9
24033,3.8
34803,4.5
40753,4.2
17580,3.9
26044,3.5
51539,3.1
41027,3.6
36935,4.2
5123,3.5
1900,3.0
7438,3.5
32487,3.8
5841,4.1
22601,3.6
14783,3.9
911,3.7
30056,3.8
26827,3.9
35475,3.7
49933,3.4
44214,3.2
48572,4.3
5266,3.5
14375,3.5
13330,4.1
36454,3.9
14229,3.4
5220,3.6
34087,4.1
44530,4.0
4434,2.9
18057,3.6
26681,3.9
20514,3.7
51122,4.0
38188,4.2
30958,3.7
3512,3.8
2195,3.6
31997,4.4
7989,3.6
3513,3.5
2594,3.9
18705,4.3
11166,3.6
42714,3.3
19214,3.6
28548,4.4
703,3.0
42415,4.3
49085,4.0
18086,4.0
39600,4.5
40062,3.6
19536,4.2
39157,4.0
8428,3.7
41593,3.8
6043,4.2
45828,4.3
21713,3.8
33017,4.2
4136,3.7
26772,3.2
19912,3.8
21942,4.2
8842,3.1
2540,3.7
12747,4.0
2690,3.6
38825,3.7
21173,3.6
44200,3.7
49090,2.9
15756,4.7
5551,4.0
38154,2.9
6948,3.2
498,3.7
14971,3.8
27116,3.1
37179,3.6
47954,3.5
34453,3.6
27235,4.1
35336,4.4
24892,3.9
30354,3.7
44225,4.3
18645,4.3
42554,4.0
47448,3.5
19649,4.0
30098,3.6
12556,4.2
32003,4.4
23484,2.9
39629,4.1
45949,3.5
46820,3.6
24787,3.3
28080,4.0
47928,3.1
26846,3.8
20355,3.1
30633,3.1
45718,3.9
42315,4.0
37647,3.3
8253,3.9
1881,3.5
33987,4.1
33991,4.4
30300,3.5
50466,3.5
33355,4.1
16976,4.3
36138,3.7
4744,3.1
12541,3.5
50947,4.1
6535,4.2
2293,4.0
1124,4.0
44020,4.1
4673,3.9
7528,3.6
28689,3.8
44587,3.6
3332,3.3
17528,4.3
35569,3.5
12578,4.1
36933,4.0
38543,4.0
31074,4.4
14231,2.4
23103,4.0
39676,3.3
45312,3.9
20588,4.0
12016,3.6
29707,4.0
5792,3.2
44462,4.0
46059,4.2
1317,3.5
41418,3.7
8363,3.7
21784,4.2
33727,3.4
18668,4.1
15357,3.4
50332,4.0
39365,4.3
35436,3.6
24814,3.7
30220,3.2
19197,3.4
40378,3.9
48808,4.2
9575,3.1
31171,4.5
40115,4.2
15462,3.2
32912,3.7
32303,3.9
44749,3.6
18648,4.2
25597,3.7
16624,3.8
7384,3.2
48305,4.2
9723,3.4
16227,3.9
38661,4.3
1136,3.6
49121,3.7
38682,4.4
5970,2.9
21874,3.1
32792,3.5
10545,3.7
30398,3.6
17197,3.8
16009,3.8
28614,3.9
38416,2.9
23203,3.8
20754,3.2
14269,3.6
31119,4.1
22106,3.1
11326,3.9
48407,3.4
32218,3.7
17573,4.4
19566,4.2
1028,4.1
19010,4.1
48723,3.5
29781,2.9
44776,3.3
19422,4.6
46679,3.8
42868,4.3
31811,3.6
34861,3.7
23272,3.4
32113,4.4
49729,3.8
13396,3.8
658,4.1
4601,2.8
32013,4.0
47235,4.3
22978,3.5
9226,2.8
11726,3.3
43277,4.2
18801,3.6
47363,3.3
22579,3.3
25723,3.6
17921,4.3
8335,4.3
13992,3.0
22837,4.1
30388,3.5
2873,3.6
28555,3.7
17947,3.0
47531,3.9
22575,3.0
22735,4.1
14676,3.3
48232,4.3
24137,3.8
9261,3.9
11115,4.2
36428,4.4
3343,4.1
21097,3.9
43685,3.8
16449,3.5
6886,3.2
31544,4.0
14817,3.8
49892,3.4
15374,3.8
4987,4.3
19312,4.0
2245,4.3
25368,4.2
1383,3.4
32304,3.8
19798,4.2
20415,3.7
28640,3.4
31676,4.2
31983,4.5
14481,3.1
43566,3.7
21730,3.9
10461,3.0
532,3.9
5862,3.5
27037,3.7
47170,3.0
8664,3.9
10775,3.2
48708,3.2
22404,3.8
17687,3.8
38075,3.4
18565,3.4
4557,4.3
1435,3.7
5030,4.2
39191,3.8
45406,4.1
17547,2.9
15012,3.7
5004,3.9
34657,3.7
43832,4.0
5350,3.9
4108,4.2
27608,4.1
9600,3.4
19589,3.4
35478,3.9
21256,3.3
11835,3.6
16922,3.4
7424,3.2
35213,3.6
50536,3.4
7370,3.6
45199,3.2
10442,3.1
18625,3.8
34195,3.8
31620,3.3
13234,4.4
541,3.8
41899,3.6
43916,4.1
49278,3.3
39121,4.2
35053,3.8
38630,4.3
40982,3.3
6831,3.5
14164,2.9
44432,4.2
37962,3.5
50196,4.0
29052,3.7
32043,4.2
43105,3.5
44771,4.1
9675,3.2
39155,4.1
3495,4.2
23746,3.6
26575,4.5
26876,3.8
6536,4.1
21313,4.0
27444,4.1
2162,3.3
47049,3.0
19989,3.8
22085,3.5
41534,3.8
28375,3.6
28948,3.8
32838,3.4
50167,3.8
29909,3.5
1230,3.9
34603,3.1
43809,2.8
31665,3.4
41741,3.1
19234,3.3
3477,4.1
39148,4.3
25037,3.8
44515,2.5
27848,4.3
46224,4.1
35030,4.3
27461,3.5
5538,3.6
2319,3.1
8665,4.2
28248,3.6
42341,4.1
23240,3.6
18829,4.0
36678,4.5
9286,3.5
3353,4.1
44255,3.3
51429,3.5
47302,3.7
29953,3.9
29951,4.0
46655,3.3
20281,3.6
22055,3.4
17711,4.1
22111,3.7
40726,3.8
4552,4.3
10750,3.7
1802,3.6
8324,3.9
36046,4.4
34902,4.0
28766,2.6
47927,3.3
38578,4.4
2789,3.8
8983,4.2
26482,3.9
10387,3.7
1443,3.2
17967,4.3
8036,2.8
19940,3.8
43062,4.3
24271,4.2
17370,4.4
18911,3.8
21624,3.1
34362,3.6
46561,2.9
30979,3.3
3928,3.5
36693,4.5
29195,3.1
47374,4.3
13284,4.0
4078,3.6
21216,3.4
42208,4.2
24846,4.2
19440,2.9
44216,2.6
31499,3.9
2839,4.0
17800,4.0
43604,3.4
16488,3.7
26979,4.0
28592,3.8
26688,3.4
36872,3.6
34106,3.7
9582,3.5
25467,3.3
47197,3.7
47248,2.8
3007,4.2
34145,2.8
5180,3.9
47477,3.4
3924,4.5
42330,2.7
38362,3.5
28610,3.5
36815,4.2
45824,4.5
21490,3.8
20909,3.9
15217,3.3
5194,4.0
33912,4.7
6612,4.3
31160,3.8
41601,3.7
2676,3.6
26518,3.5
11148,3.8
36841,3.6
46072,4.3
10582,3.6
40512,4.5
8558,3.9
10298,4.1
37337,3.6
47695,4.3
30391,3.5
20181,3.0
1726,3.6
34092,3.0
5170,4.4
35754,4.6
32552,3.9
2366,3.7
41861,3.4
3781,4.0
18624,3.5
12971,2.9
29415,3.6
19305,2.4
21219,3.7
24086,3.3
35090,3.8
11671,4.3
15609,3.7
12384,4.3
11401,3.1
35856,3.3
30932,4.5
45510,3.8
31732,3.7
30820,3.2
21434,3.9
35419,3.5
47227,4.5
29306,4.4
32222,3.8
37260,3.8
5176,3.6
7154,2.4
43156,3.6
4842,3.6
32709,3.7
31835,2.9
42819,4.0
16580,3.2
32397,3.9
47155,3.2
33670,4.3
24023,3.0
43954,3.7
5095,3.1
30573,3.8
11658,3.2
9421,3.9
4980,4.5
31705,3.4
11807,4.2
30320,3.7
28385,4.3
49297,3.6
3996,3.9
14118,3.6
18294,3.7
25240,4.0
17652,3.9
14695,3.5
15867,3.2
155,4.1
3262,4.0
10533,3.8
15166,3.9
7346,3.0
10015,2.9
6169,4.3
17681,3.5
28364,3.9
45592,2.9
10575,3.4
44651,3.7
41888,3.1
46843,2.8
32242,4.5
6311,3.6
38805,4.1
19490,4.0
23140,4.0
11453,4.5
14961,3.7
13598,3.7
28642,2.7
21790,3.7
46247,4.1
48062,4.1
3837,3.5
43270,4.3
15139,3.6
45243,3.5
45693,3.2
18322,2.1
35315,3.4
46522,3.4
32358,4.0
6004,3.9
50164,4.2
21428,3.5
2738,4.0
11924,4.1
26598,4.0
7833,3.7
1642,4.0
255,3.8
18692,4.3
20548,3.6
37160,3.6
29737,3.7
35405,3.7
31295,4.0
25444,3.7
19377,3.8
32887,3.4
36733,4.1
23342,3.5
28220,3.4
31761,3.5
28752,3.9
3259,3.5
44415,3.6
15338,4.0
19362,3.3
29080,2.5
32430,3.6
46146,4.5
15092,3.8
12825,3.7
14748,3.4
50069,4.2
2625,4.2
37861,3.5
25075,2.8
29889,3.5
35362,3.7
41183,3.8
33999,4.5
15162,2.5
2732,4.1
17057,3.6
32279,3.7
18127,3.9
38880,3.9
2484,3.8
21162,4.2
51338,3.7
39190,4.1
42321,3.3
32772,4.5
32416,3.7
7386,3.1
9015,3.8
47083,3.2
35950,3.4
11639,4.0
48060,4.0
47900,3.6
47237,4.0
38696,4.2
44838,3.8
9352,4.1
23373,3.7
35207,4.2
32312,3.3
45578,4.0
6245,4.2
852,3.6
2019,3.6
48739,3.3
5216,3.9
47384,4.0
46317,2.9
35993,4.1
45249,3.1
23668,2.9
35076,3.9
15642,4.0
11989,3.1
16078,3.4
30306,4.1
13474,3.6
8824,3.8
48048,3.8
39849,4.2
23460,4.3
32790,2.8
43248,4.4
34881,3.3
32440,3.8
39611,3.6
26701,3.8
37930,4.1
34494,3.6
26823,3.9
4526,3.6
43541,4.1
48160,4.2
39917,3.5
40469,3.7
32895,3.5
31757,3.4
23062,3.6
10601,2.8
51164,3.7
9014,3.9
45325,3.5
45819,4.2
37061,3.7
37921,3.9
23898,2.6
26857,3.3
40976,3.3
19568,3.9
26214,3.5
16380,3.9
21733,4.1
16198,4.0
5773,3.9
3446,4.1
30980,3.5
26733,2.8
8273,4.7
12756,3.9
9844,3.6
29240,3.9
644,3.6
14953,4.4
23068,3.4
7485,4.2
19495,4.3
47789,3.5
29300,4.4
11585,3.3
8849,2.8
3799,4.1
17048,3.3
36182,3.4
4020,4.3
48994,3.5
42882,3.6
7164,3.6
40353,3.9
20439,3.0
36674,4.6
2715,4.3
27396,4.0
10872,4.5
193,4.1
32402,3.8
19894,3.8
22396,3.8
6558,3.5
37530,3.3
39456,3.4
28465,4.3
6068,4.1
51030,3.7
34742,4.1
39795,3.8
26527,3.3
15751,3.6
22452,3.2
48839,4.7
23127,3.6
10956,4.2
14759,2.9
11666,3.8
14787,3.1
45136,3.5
7109,4.0
340,3.1
34077,3.5
47436,3.4
43427,3.6
22392,2.7
5060,3.9
8254,3.9
3471,4.1
26886,4.6
49060,3.1
942,4.0
21354,3.6
32911,3.1
13398,3.2
9345,3.8
10061,3.0
24836,4.3
42380,4.6
38843,3.7
48433,4.2
44385,3.8
49815,3.1
27260,3.4
49275,4.0
49906,3.3
1713,3.7
33977,4.1
37441,3.5
21349,3.7
32433,4.0
23948,3.7
15915,3.6
20685,3.4
29828,3.6
43191,4.1
27674,3.4
44654,3.5
28768,3.9
7160,3.9
18469,3.2
32162,4.1
47586,3.7
40688,3.4
24729,3.8
41232,4.0
17209,3.8
577,3.8
4053,4.1
36559,3.4
15371,3.7
39105,3.1
11550,4.3
15352,3.6
37713,4.3
8568,3.7
38237,3.8
16761,3.5
25894,3.2
28957,3.8
32955,3.5
44464,2.9
22354,3.6
3039,2.7
2468,3.6
32042,4.6
41258,3.2
43021,3.1
1702,4.1
23463,4.6
49317,3.0
19523,4.2
42487,3.8
34418,3.8
51044,4.6
17956,4.1
3362,4.0
25704,3.5
36585,4.2
2565,3.8
48592,3.7
48624,3.8
47026,4.2
29496,4.1
47360,3.2
46859,3.2
41189,3.6
16226,4.0
1379,3.8
2497,4.6
28065,2.9
32138,4.4
17509,3.9
6337,2.6
1912,3.6
47070,4.2
14311,3.9
404,4.0
37245,2.7
21028,3.3
662,3.6
10402,3.9
15883,3.8
7515,3.5
8082,3.7
29492,4.2
29391,4.2
18689,4.1
46069,4.3
27533,3.3
51403,3.6
5709,4.1
22002,3.9
48666,3.4
835,3.3
41730,3.8
20577,3.8
23611,3.7
3078,3.8
44834,4.2
24450,3.1
45738,3.4
27151,3.7
8279,4.5
2522,3.8
26271,3.8
4123,4.3
18627,3.4
38749,4.2
36932,4.3
45576,3.6
5415,3.7
45072,3.7
1109,4.0
50457,2.7
11228,4.0
8776,4.0
17593,3.9
39,4.0
51549,2.6
30189,3.7
7463,3.9
37313,3.1
18552,3.8
28703,3.8
23038,3.5
27169,3.9
12667,4.3
48861,3.0
27547,3.8
12844,4.1
17691,3.8
22139,4.3
14721,3.9
12350,4.1
17864,3.7
44465,3.1
33108,3.2
43147,3.7
3579,3.6
8961,4.1
36971,3.9
3113,3.8
29696,4.2
20057,3.7
51095,4.1
2299,3.7
27764,3.2
49943,3.5
18569,3.8
9425,4.0
44098,3.2
41037,3.8
36982,3.8
20485,4.4
27370,3.8
29892,4.0
5667,3.9
24359,3.4
37735,4.6
21385,3.9
24784,4.0
50022,3.2
30045,4.2
18553,3.9
40239,3.5
7946,3.8
27472,3.0
37379,3.5
49074,4.0
33834,3.4
35578,3.2
6359,4.1
50383,3.8
48608,4.0
45560,4.0
11731,4.6
10297,4.1
26699,3.5
26650,4.0
7019,3.5
968,3.3
34878,4.0
9180,3.4
25089,3.3
16645,3.8
37460,3.4
48328,4.0
14462,3.2
36062,3.5
22461,4.1
4793,3.0
6844,3.0
42447,4.2
43446,3.4
36787,3.7
35455,3.4
25265,3.6
19592,3.9
17281,3.5
11092,4.2
2343,3.1
15569,3.3
48731,3.6
43308,4.3
41023,4.2
16075,3.3
39371,2.7
15937,3.6
40619,3.1
9034,3.8
21462,4.0
45626,3.7
27837,4.3
35989,3.2
39139,4.1
16792,3.9
11289,3.8
15536,3.0
35010,3.7
42220,4.2
26039,4.4
33906,3.1
32290,3.4
44747,3.4
39865,2.6
22207,4.2
28760,3.7
1670,2.9
48314,4.1
22808,3.1
30528,4.4
5832,4.1
11046,3.7
26382,3.2
41055,3.3
2111,3.7
46203,4.1
16229,3.7
228,3.8
18238,2.8
43230,3.5
42348,4.0
42041,3.6
24165,2.8
47913,3.4
23861,4.2
42830,3.8
49810,3.0
3247,4.0
4404,3.8
11763,3.3
39929,3.7
31099,4.5
18754,4.1
32004,4.4
5599,3.1
9981,3.5
17039,3.5
42004,3.4
24781,2.4
38631,4.4
2941,3.9
17640,3.8
11005,3.8
13561,3.5
5272,4.2
47242,4.3
20096,4.1
37156,3.6
35508,3.4
42544,4.3
22484,3.7
36403,4.0
7697,4.5
5108,3.5
10244,3.3
27560,3.2
33467,3.1
34977,3.3
6094,4.4
50157,3.8
41386,4.3
49946,3.5
12417,4.0
3400,3.1
34652,3.0
22800,3.5
39693,2.9
513,3.5
40417,3.0
27080,2.8
51215,3.8
17659,3.8
5654,4.3
17569,4.2
44234,4.2
23715,3.7
23798,3.4
6866,3.7
23872,3.8
10589,3.7
34075,3.8
28522,3.5
13701,2.7
1402,3.8
35425,3.9
9412,3.1
35043,3.7
27641,3.7
51399,3.8
21692,3.5
23814,3.6
31730,3.3
17848,3.7
32420,4.1
1334,3.6
15144,3.4
36339,3.5
43791,3.3
51082,3.9
33256,3.8
24235,4.1
7711,3.5
27807,3.0
46783,3.2
5566,3.9
10748,3.5
31485,4.0
4804,4.6
27646,3.7
30289,3.5
45388,4.1
49594,3.9
14335,3.5
25148,3.9
19743,3.8
465,4.2
26604,3.8
5043,4.2
44963,4.4
10882,4.7
22406,3.9
34913,4.0
31699,3.4
42742,3.8
33028,4.1
1017,3.2
39646,4.2
32327,4.4
